S2_T,S2-H,S2_P,S3_T,S3_H,S3_P,S5_T,S5_H,S5_P,S6_T,S6_H,S6_P
0.327942985,-0.666079487,1.399423999,0.662449679,-1.360841107,1.399423999,0.921271521,-1.354430718,1.399423999,0.54856537,-0.746927128,0.207795013
-0.26927273,0.372319101,1.466063238,-0.254111969,0.161087062,1.466063238,0.154904061,-0.442578192,1.466063238,-0.012435198,-0.245825636,0.207795013
-0.427309371,0.378645978,1.554915555,-0.534426486,0.160728134,1.554915555,-0.38318373,0.299468281,1.554915555,-0.435231922,0.358172917,0.15584626
-0.519214799,0.383215388,1.643767872,-0.615671974,0.160728134,1.643767872,-0.392967144,0.386197536,1.643767872,-0.506065327,0.413579026,0.15584626
-0.90514977,0.35755639,2.265734094,-0.827050926,0.160584563,2.265734094,-0.376661454,0.515760151,2.265734094,-0.374157786,0.205626225,0.285718143
-1.132030698,0.412652938,3.554092697,-0.841822833,0.160369206,3.554092697,-0.78430372,0.642334393,3.554092697,-0.864324949,0.570299166,0.675333792
-1.079125728,0.352986979,3.4430273,-0.835140304,0.160728134,3.4430273,-0.751692339,0.742079677,3.4430273,-1.047862172,0.657701704,0.701308169
-1.368746524,0.35597467,2.75442184,-0.857649876,0.160153849,2.75442184,-0.931054936,0.641471085,2.75442184,-1.335288389,0.752731577,0.623385039
1.946292443,-2.339538293,3.929657901,1.614885956,-2.226504603,3.929657901,1.374569721,-1.713367641,3.929657901,2.065659498,-1.274892188,6.103978507
1.43284293,-1.863792338,3.951870981,1.307137898,-1.941659031,3.951870981,2.017013932,-1.912326943,3.951870981,1.555344167,-1.052068482,5.740337234
1.243945057,-1.440067366,3.685314029,1.268097858,-2.084225388,3.685314029,0.843004206,-0.782057481,3.685314029,1.20904752,-1.01402775,5.194875325
0.868862387,-1.208784884,3.485396314,0.721185594,-1.400753944,3.485396314,0.937577212,-1.358016766,3.485396314,0.239416909,-0.134006033,4.857208429
0.302168769,-0.420561534,3.507609394,0.44825703,-0.94749917,3.507609394,0.572329741,-0.828410482,3.507609394,0.151583487,-0.132950678,4.38966965
-0.037983055,0.003866424,3.418757076,0.062780604,-0.356487679,3.418757076,0.259260481,-0.375439389,3.418757076,-0.163546462,0.07332315,4.259797767
-0.161767119,0.161598968,3.263265521,-0.198893174,0.146729927,3.263265521,0.053808779,-0.171101015,3.263265521,0.178657588,-0.417704503,4.31174652
-0.208228535,0.200438959,3.64088787,-0.29350372,0.161589562,3.64088787,-0.08642016,-0.031377927,3.64088787,-0.238787279,-0.023961344,4.805259676
-0.286568586,0.306502012,3.218839362,-0.31566158,0.161661348,3.218839362,-0.27882731,0.139689883,3.218839362,-0.313713281,0.046027846,5.039029065
-0.30454271,0.407029048,3.529822473,-0.515434034,0.161015277,3.529822473,-0.321222106,0.21141086,3.529822473,-0.538806101,0.346276194,5.246824078
