S2_T,S2-H,S2_P,S3_T,S3_H,S3_P,S5_T,S5_H,S5_P,S4_T,S4_H,S4_P
-1.079125728,0.352986979,3.4430273,-0.835140304,0.160728134,3.4430273,-0.751692339,0.742079677,3.4430273,-0.434154518,0.528869656,3.4430273
-1.368746524,0.35597467,2.75442184,-0.857649876,0.160153849,2.75442184,-0.931054936,0.641471085,2.75442184,-0.664048444,0.528836311,2.75442184
1.946292443,-2.339538293,3.929657901,1.614885956,-2.226504603,3.929657901,1.374569721,-1.713367641,3.929657901,2.069206549,-1.245222031,0.6
1.43284293,-1.863792338,3.951870981,1.307137898,-1.941659031,3.951870981,2.017013932,-1.912326943,3.951870981,2.302969657,-1.301108386,0.6
1.243945057,-1.440067366,3.685314029,1.268097858,-2.084225388,3.685314029,0.843004206,-0.782057481,3.685314029,1.957967552,-1.221313608,0.6
0.868862387,-1.208784884,3.485396314,0.721185594,-1.400753944,3.485396314,0.937577212,-1.358016766,3.485396314,1.635535679,-1.115909807,0.8
0.302168769,-0.420561534,3.507609394,0.44825703,-0.94749917,3.507609394,0.572329741,-0.828410482,3.507609394,1.240879065,-0.972559304,0.9
-0.037983055,0.003866424,3.418757076,0.062780604,-0.356487679,3.418757076,0.259260481,-0.375439389,3.418757076,0.767549075,-0.622369263,0.9
-0.161767119,0.161598968,3.263265521,-0.198893174,0.146729927,3.263265521,0.053808779,-0.171101015,3.263265521,0.447374225,-0.258140944,0.9
-0.208228535,0.200438959,3.64088787,-0.29350372,0.161589562,3.64088787,-0.08642016,-0.031377927,3.64088787,0.195554931,-0.103219698,0.9
-0.286568586,0.306502012,3.218839362,-0.31566158,0.161661348,3.218839362,-0.27882731,0.139689883,3.218839362,0.124619919,-0.052935316,0.1
-0.30454271,0.407029048,3.529822473,-0.515434034,0.161015277,3.529822473,-0.321222106,0.21141086,3.529822473,0.018862265,0.044332285,0.1
-0.376439208,0.438839177,3.751953267,-0.530205941,0.160871705,3.751953267,-0.370139178,0.35810682,3.751953267,-0.134292875,0.225529455,0.1
-0.46868377,0.4555351,3.041134727,-0.558342907,0.16079992,3.041134727,-0.536457222,0.523264291,3.041134727,-0.292929357,0.529136417,0.8
2.044302291,-2.074776091,-0.066639238,2.064022266,-2.415947009,-0.066639238,1.710466948,-2.110157303,-0.066639238,2.310063158,-1.147821049,-0.066639238
2.056850265,-1.931279019,-0.044426159,1.62403047,-2.199943902,-0.044426159,1.814823368,-2.221258408,-0.044426159,2.57026568,-1.389406161,-0.044426159
1.937474948,-2.04050551,-0.022213079,2.007396623,-2.475457336,-0.022213079,1.716989224,-1.946593631,-0.022213079,2.451288319,-1.366998266,-0.022213079
0.895993141,-1.277589665,-0.022213079,1.420389183,-1.952283311,-0.022213079,1.827867921,-1.738669208,-0.022213079,2.361329826,-1.320848674,-0.022213079
0.449692243,-1.131895762,0,0.658580846,-1.344545758,0,1.04519477,-1.182499599,0,1.654881591,-1.042917424,0
-0.023061141,-0.43303954,-0.022213079,0.1267922,-0.730419278,-0.022213079,0.291871862,-0.674741649,-0.022213079,0.987447613,-0.717302709,-0.022213079
-0.251976875,-0.007029863,-0.022213079,0.15563259,-1.012321638,-0.022213079,0.021197398,-0.307171645,-0.022213079,0.647604418,-0.406726625,-0.022213079
-0.757287163,0.101493642,-0.044426159,-0.133826442,-0.261371655,-0.044426159,0.053808779,-0.39702209,-0.044426159,0.447696656,-0.33883604,-0.044426159
-0.538545461,0.247802659,-0.066639238,-0.272400996,0.161087062,-0.066639238,-0.109248127,0.100774613,-0.066639238,0.224251368,-0.165274894,-0.066639238
-0.372708729,0.274955503,-0.088852317,-0.323750958,0.160943491,-0.088852317,-0.262521619,0.418139933,-0.088852317,0.061423272,-0.062572044,-0.088852317
-0.350664992,0.294111879,-0.133278476,-0.429264578,0.161230634,-0.133278476,-0.412533973,0.781592622,-0.133278476,-0.1436434,0.529103072,-0.133278476
-0.461901082,0.351844626,-0.133278476,-0.506992945,0.160871705,-0.133278476,-0.507106979,0.796600901,-0.133278476,-0.32098093,0.528869656,-0.133278476
1.327711259,-1.401051628,-0.022213079,1.235036924,-1.171757629,-0.022213079,0.914749245,-0.694597734,-0.022213079,1.462389763,-0.622202538,-0.022213079
2.021919419,-2.241120216,0,1.279000932,-1.596585275,0,1.110417533,-0.638947569,0,1.760961677,-0.863620924,0
1.897796221,-2.197535068,0,1.358487859,-1.56543029,0,1.456098174,-1.361469999,0,1.815452664,-0.994200261,0
0.979420208,-1.278292651,0,1.283221477,-1.450573205,0,1.883307269,-1.857938535,0,1.681321005,-0.831776372,0
0.237733229,-0.272846544,-0.022213079,0.381080025,-0.67607752,-0.022213079,0.709297543,-0.63655687,-0.022213079,1.061284512,-0.546275789,-0.022213079
-0.080035723,0.105623686,-0.022213079,-0.300537961,0.161374205,-0.022213079,-0.112509265,0.133580319,-0.022213079,0.486388481,-0.285583946,-0.022213079
-0.198393636,0.218628729,-0.022213079,-0.406051582,0.161374205,-0.022213079,-0.353833487,0.399479198,-0.022213079,0.060778408,0.208423429,-0.022213079
-0.276394553,0.276009983,-0.066639238,-0.463732361,0.161230634,-0.066639238,-0.366878039,0.64678375,-0.066639238,-0.252947805,0.528869656,-0.066639238
-0.388987181,0.311950156,-0.088852317,-0.535833334,0.161015277,-0.088852317,-0.48754015,0.508388829,-0.088852317,-0.359027891,0.528702931,-0.088852317
-0.587041683,0.338312141,-0.111065397,-0.797858824,0.16079992,-0.111065397,-0.807131687,0.689351478,-0.111065397,-0.512505463,0.528669586,-0.111065397
-0.951611186,0.338487887,-0.133278476,-0.747212287,0.16079992,-0.133278476,-1.286518992,0.658073163,-0.133278476,-0.561515108,0.528569551,-0.133278476
-0.756948028,0.327943093,-0.133278476,-0.701138006,0.16079992,-0.133278476,-0.944099488,0.825488516,-0.133278476,-0.574089951,0.528769621,-0.133278476
2.789719749,-2.957551094,1.421637079,2.21772044,-2.619459407,1.421637079,1.482187279,-1.255548742,1.421637079,2.130791036,-1.176431129,1.421637079
2.119250998,-2.620557053,1.665980952,2.213851607,-2.54516123,1.665980952,1.103895256,-1.087867755,1.665980952,2.2862032,-1.11540963,1.665980952
2.5665693,-2.651664195,1.799259428,2.167073902,-2.646163679,1.799259428,1.91591865,-1.646760105,1.799259428,2.37229251,-1.269430559,1.799259428
1.402999101,-1.606411491,1.821472507,1.662367086,-2.198867117,1.821472507,2.248554739,-2.279631314,1.821472507,2.335857708,-1.288804051,1.821472507
0.609763689,-0.634796598,1.821472507,0.657173998,-0.981597367,1.821472507,0.898443554,-0.850059592,1.821472507,1.936687049,-1.190269337,1.821472507
0.18482826,0.103075361,1.554915555,0.046601849,0.161804919,1.554915555,0.295133001,-0.279346562,1.554915555,0.657599806,-0.307091523,1.554915555
0.025774216,0.180140231,1.243932444,0.100413795,0.125122438,1.243932444,-0.024458536,0.426374564,1.243932444,0.376439212,0.05887074,1.243932444
-0.128531946,0.258083833,0.888523174,-0.115185702,0.161302419,0.888523174,-0.037503088,0.382611487,0.888523174,0.327751999,0.029627104,0.888523174
-0.234681019,0.296396584,0.644179301,-0.218237338,0.161374205,0.644179301,-0.167948614,0.660131821,0.644179301,0.136549898,0.233198824,0.644179301
-0.258420429,0.395517648,0.33319619,-0.315309868,0.161087062,0.33319619,-0.184254304,0.724614291,0.33319619,-0.022409015,0.529136417,0.33319619
-0.386952375,0.394638915,0.044426159,-0.352591347,0.161230634,0.044426159,-0.311438691,0.802245607,0.044426159,-0.142353672,0.529069727,0.044426159
-0.338117018,0.383391135,-0.088852317,-0.449663878,0.161445991,-0.088852317,-0.422317388,0.744271151,-0.088852317,-0.18846143,0.529069727,-0.088852317
1.282606381,-1.19235258,0.666392381,1.023306259,-0.94699667,0.666392381,0.787564858,-0.612782695,0.666392381,1.687769642,-0.787760865,0.666392381
1.537635466,-1.840593791,0.821883936,1.220265017,-1.573326715,0.821883936,0.953882902,-0.714121778,0.821883936,1.80094323,-0.985263779,0.821883936
1.432164661,-1.587870228,0.910736254,1.343364241,-1.349857898,0.910736254,1.381091997,-1.269162446,0.910736254,1.379202339,-0.638441592,0.910736254
1.320250302,-1.843581483,0.977375492,1.399286459,-1.649132391,0.977375492,1.452837036,-1.44401553,0.977375492,1.66165266,-0.758884025,0.977375492
0.779670034,-1.201930768,0.999588571,0.82775435,-1.301187208,0.999588571,1.172379157,-1.121935219,0.999588571,1.357599404,-0.758750645,0.999588571
0.004408747,-0.513179974,0.955162412,0.319882125,-0.859777071,0.955162412,0.53971836,-0.582234871,0.955162412,0.99550841,-0.584055765,0.955162412
-0.50395375,0.061774918,0.888523174,0.007561809,-0.399056587,0.888523174,0.291871862,-0.42889808,0.888523174,0.961975495,-0.716168976,0.888523174
-0.437483403,0.123286216,0.755244698,-0.490110766,0.153549566,0.755244698,0.252738205,-0.455859854,0.755244698,0.428995608,-0.243902595,0.755244698
-0.197376233,0.181809823,0.666392381,-0.218940762,0.161158848,0.666392381,0.024458536,0.081914652,0.666392381,0.26939183,-0.133563722,0.666392381
-0.263507445,0.176801046,0.621966222,-0.294558856,0.161230634,0.621966222,-0.2266491,0.386728802,0.621966222,-0.00951174,0.18618226,0.621966222
-0.270290134,0.131282685,0.510900825,-0.663504815,0.160656348,0.510900825,-0.363616901,0.522666616,0.510900825,-0.119461009,0.529003037,0.510900825
-0.137688575,0.021528954,0.399835428,-0.443684773,0.160728134,0.399835428,-0.595157708,0.692140627,0.399835428,-0.402556194,0.528669586,0.399835428
2.537403739,-2.406146242,2.043603301,2.912703484,-3.075800965,2.043603301,2.046364175,-2.23493852,2.043603301,2.91623508,-1.422584516,2.043603301
2.663900879,-2.662911976,2.221307936,2.57330134,-2.794831819,2.221307936,2.463789856,-2.037838651,2.221307936,3.156446826,-1.501112182,2.221307936
3.027792113,-3.248851028,2.110242539,2.133661256,-2.591678349,2.110242539,2.245293601,-2.042420825,2.110242539,3.039081624,-1.527921627,2.110242539
1.456243205,-1.845690441,1.954750983,2.25183651,-2.540566946,1.954750983,1.266952163,-1.612626233,1.954750983,2.672154152,-1.295306342,1.954750983
0.849531725,-0.957906661,1.488276317,1.083097311,-1.417408221,1.488276317,1.120200947,-1.304425259,1.488276317,1.593619535,-0.841012959,1.488276317
